5	100	0
5	96	1
1	132	0
7	750	0
1	42	0
2	20	1
2	8	0
3	20	0
12	6	1
3	150	0
5	35	0
2	30	1
3	4	1
2	70	1
2	10	0
3	63	1
12	72	0
2	6	0
1	6	1
1	80	1
2	70	1
1	60	1
3	100	1
1	80	0
2	115	1
3	95	0
2	75	1
5	100	0
3	20	0
6	160	1
9	100	1
6	96	1
11	132	0
4	750	0
12	42	0
2	20	1
6	8	0
3	20	0
3	6	1
1	150	0
5	35	0
12	30	1
2	4	1
12	70	1
2	10	0
4	63	1
5	72	0
5	6	0
7	6	1
8	80	1
9	70	1
3	60	1
11	100	1
6	80	0
8	115	1
1	95	0
11	75	1
6	100	0
8	20	1
9	160	1
2	100	1
5	96	0
4	132	0
12	750	0
7	42	0
5	20	1
4	8	0
11	20	0
3	6	1
1	150	0
7	35	0
11	30	1
11	4	1
10	70	1
12	10	0
10	63	1
7	72	0
7	6	0
5	6	1
1	80	1
2	70	1
3	60	1
9	100	1
9	80	0
10	115	1
3	95	0
6	75	1
8	100	0
10	20	1
8	160	1
